species	id	temp	performance	size	site	acctemp	hydration
Fulanus_beltranus	2245	3	36.66	2.898	Cafundo	20	0.9
Fulanus_beltranus	2215	9	36.9	2.329	Cafundo	10	0.7
Fulanus_beltranus	2214	9	37.08	2.178	Cafundo	10	0.7
Fulanus_beltranus	2410	9	37.14	2.143	Cafundo	10	0.85
Fulanus_beltranus	2343	9	37.26	2.499	Cafundo	10	0.85
Fulanus_beltranus	2413	9	37.44	2.713	Cafundo	10	0.85
Fulanus_beltranus	2345	9	37.56	3.279	Cafundo	10	0.85
Fulanus_beltranus	2121	9	37.8	2.551	Cafundo	10	0.8
Fulanus_beltranus	2222	9	37.86	2.684	Cafundo	10	0.8
Fulanus_beltranus	2212	9	38.04	2.504	Cafundo	10	0.8
Fulanus_beltranus	2131	9	38.04	2.488	Cafundo	10	0.8
Fulanus_beltranus	2011	9	38.22	2.65	Cafundo	10	0.75
Fulanus_beltranus	2013	9	38.22	3.847	Cafundo	10	0.75
Fulanus_beltranus	2022	9	38.28	3.006	Cafundo	10	0.75
Fulanus_beltranus	2125	9	38.28	2.267	Cafundo	10	0.75
Fulanus_beltranus	2012	9	38.4	2.702	Cafundo	10	0.7
Fulanus_beltranus	2224	9	38.7	2.03	Cafundo	15	0.775
Fulanus_beltranus	2230	9	39.12	2.198	Cafundo	15	0.925
Fulanus_beltranus	2424	9	39.12	1.994	Cafundo	15	0.925
Fulanus_beltranus	2421	9	39.24	2.556	Cafundo	15	0.925
Fulanus_beltranus	2423	9	39.24	3.653	Cafundo	15	0.925
Fulanus_beltranus	2031	9	39.36	2.528	Cafundo	15	0.875
Fulanus_beltranus	2223	9	39.54	3.425	Cafundo	15	0.875
Fulanus_beltranus	2032	9	39.72	2.317	Cafundo	15	0.875
Fulanus_beltranus	2033	9	39.96	2.307	Cafundo	15	0.875
Fulanus_beltranus	2235	9	39.96	2.923	Cafundo	15	0.825
Fulanus_beltranus	2200	9	40.74	2.216	Cafundo	15	0.825
Fulanus_beltranus	2143	9	40.92	2.509	Cafundo	15	0.825
Fulanus_beltranus	2024	9	40.98	2.503	Cafundo	15	0.825
Fulanus_beltranus	2035	9	41.52	2.292	Cafundo	15	0.775
Fulanus_beltranus	2231	9	41.58	3.182	Cafundo	15	0.775
Fulanus_beltranus	2322	9	41.64	2.156	Cafundo	20	0.975
Fulanus_beltranus	2324	9	42.12	2.044	Cafundo	20	0.975
Fulanus_beltranus	2340	9	42.24	2.445	Cafundo	20	0.975
Fulanus_beltranus	2325	9	42.24	2.546	Cafundo	20	0.975
Fulanus_beltranus	2333	9	42.78	2.104	Cafundo	20	0.925
Fulanus_beltranus	2342	9	42.84	2.275	Cafundo	20	0.925
Fulanus_beltranus	2245	9	42.84	2.898	Cafundo	20	0.925
Fulanus_beltranus	2111	9	42.84	2.515	Cafundo	20	0.925
Fulanus_beltranus	2312	9	42.84	2.069	Cafundo	20	0.875
Fulanus_beltranus	2241	9	43.32	2.507	Cafundo	20	0.875
Fulanus_beltranus	2110	9	43.86	2.293	Cafundo	20	0.875
Fulanus_beltranus	2114	9	43.86	2.765	Cafundo	20	0.875
Fulanus_beltranus	2311	9	44.16	2.35	Cafundo	20	0.825
Fulanus_beltranus	2310	9	44.58	2.441	Cafundo	20	0.825
Fulanus_beltranus	2242	9	44.58	3.175	Cafundo	20	0.975
Fulanus_beltranus	2022	15	45.36	3.006	Cafundo	10	0.8
Fulanus_beltranus	2120	15	45.66	2.171	Cafundo	10	0.8
Fulanus_beltranus	2020	15	46.14	1.759	Cafundo	10	0.8
Fulanus_beltranus	2014	15	46.14	4.441	Cafundo	10	0.75
Fulanus_beltranus	2212	15	46.38	2.504	Cafundo	10	0.75
Fulanus_beltranus	2122	15	46.74	2.658	Cafundo	10	0.75
Fulanus_beltranus	2021	15	47.04	2.641	Cafundo	10	0.75
Fulanus_beltranus	2124	15	47.04	2.11	Cafundo	10	0.7
Fulanus_beltranus	2131	15	47.1	2.488	Cafundo	10	0.7
Fulanus_beltranus	2411	15	48.42	4.901	Cafundo	10	0.7
Fulanus_beltranus	2344	15	48.54	1.811	Cafundo	10	0.7
Fulanus_beltranus	2013	15	48.66	3.847	Cafundo	10	0.65
Fulanus_beltranus	2414	15	48.66	1.889	Cafundo	10	0.65
Fulanus_beltranus	2221	15	48.72	1.961	Cafundo	10	0.8
Fulanus_beltranus	2220	15	49.08	2.346	Cafundo	10	0.8
Fulanus_beltranus	2223	15	49.08	3.425	Cafundo	15	0.9
Fulanus_beltranus	2200	15	49.08	2.216	Cafundo	15	0.9
Fulanus_beltranus	2025	15	49.14	5.507	Cafundo	15	0.85
Fulanus_beltranus	2235	15	49.2	2.923	Cafundo	15	0.85
Fulanus_beltranus	2033	15	49.26	2.307	Cafundo	15	0.85
Fulanus_beltranus	2145	15	49.44	5.45	Cafundo	15	0.85
Fulanus_beltranus	2421	15	49.5	2.556	Cafundo	15	0.8
Fulanus_beltranus	2024	15	49.98	2.503	Cafundo	15	0.8
Fulanus_beltranus	2423	15	49.98	3.653	Cafundo	15	0.8
Fulanus_beltranus	2031	15	50.28	2.528	Cafundo	15	0.8
Fulanus_beltranus	2232	15	50.46	2.235	Cafundo	15	0.75
Fulanus_beltranus	2032	15	50.82	2.317	Cafundo	15	0.75
Fulanus_beltranus	2231	15	50.94	3.182	Cafundo	15	0.9
Fulanus_beltranus	2425	15	50.94	3.478	Cafundo	15	0.9
Fulanus_beltranus	2424	15	51.42	1.994	Cafundo	15	0.9
Fulanus_beltranus	2242	15	51.48	3.175	Cafundo	20	0.95
Fulanus_beltranus	2325	15	51.9	2.546	Cafundo	20	0.9
Fulanus_beltranus	2111	15	51.9	2.515	Cafundo	20	0.9
Fulanus_beltranus	2340	15	52.14	2.445	Cafundo	20	0.9
Fulanus_beltranus	2113	15	52.14	2.828	Cafundo	20	0.9
Fulanus_beltranus	2333	15	52.14	2.104	Cafundo	20	0.85
Fulanus_beltranus	2342	15	52.26	2.275	Cafundo	20	0.85
Fulanus_beltranus	2045	15	52.56	2.869	Cafundo	20	0.85
Fulanus_beltranus	2114	15	53.34	2.765	Cafundo	20	0.85
Fulanus_beltranus	2245	15	53.52	2.898	Cafundo	20	0.8
Fulanus_beltranus	2311	15	53.58	2.35	Cafundo	20	0.8
Fulanus_beltranus	2241	15	53.58	2.507	Cafundo	20	0.95
Fulanus_beltranus	2243	15	53.64	2.63	Cafundo	20	0.95
Fulanus_beltranus	2324	15	53.82	2.044	Cafundo	20	0.95
Fulanus_beltranus	2043	15	54.06	2.257	Cafundo	20	0.95
Fulanus_beltranus	2011	20	54.3	2.65	Cafundo	10	0.65
Fulanus_beltranus	2012	20	54.3	2.702	Cafundo	10	0.65
Fulanus_beltranus	2010	20	54.36	2.551	Cafundo	10	0.65
Fulanus_beltranus	2022	20	54.36	3.006	Cafundo	10	0.65
Fulanus_beltranus	2021	20	54.54	2.641	Cafundo	10	0.6
Fulanus_beltranus	2121	20	54.54	2.551	Cafundo	10	0.6
Fulanus_beltranus	2131	20	54.54	2.488	Cafundo	10	0.6
Fulanus_beltranus	2120	20	54.9	2.171	Cafundo	10	0.6
Fulanus_beltranus	2125	20	54.96	2.267	Cafundo	10	0.55
Fulanus_beltranus	2122	20	54.96	2.658	Cafundo	10	0.55
Fulanus_beltranus	2124	20	55.08	2.11	Cafundo	10	0.7
Fulanus_beltranus	2212	20	55.08	2.504	Cafundo	10	0.7
Fulanus_beltranus	2222	20	55.26	2.684	Cafundo	10	0.7
Fulanus_beltranus	2220	20	55.8	2.346	Cafundo	10	0.7
Fulanus_beltranus	2211	20	56.16	2.122	Cafundo	10	0.65
Fulanus_beltranus	2024	20	56.22	2.503	Cafundo	15	0.75
Fulanus_beltranus	2033	20	56.22	2.307	Cafundo	15	0.75
Fulanus_beltranus	2030	20	56.22	2.12	Cafundo	15	0.75
Fulanus_beltranus	2035	20	56.22	2.292	Cafundo	15	0.7
Fulanus_beltranus	2032	20	56.22	2.317	Cafundo	15	0.7
Fulanus_beltranus	2040	20	56.46	2.134	Cafundo	15	0.7
Fulanus_beltranus	2143	20	56.82	2.509	Cafundo	15	0.7
Fulanus_beltranus	2134	20	56.82	2.151	Cafundo	15	0.65
Fulanus_beltranus	2200	20	57	2.216	Cafundo	15	0.65
Fulanus_beltranus	2235	20	57	2.923	Cafundo	15	0.8
Fulanus_beltranus	2232	20	57.12	2.235	Cafundo	15	0.8
Fulanus_beltranus	2223	20	57.12	3.425	Cafundo	15	0.8
Fulanus_beltranus	2233	20	57.12	1.972	Cafundo	15	0.8
Fulanus_beltranus	2114	20	57.12	2.765	Cafundo	20	0.85
Fulanus_beltranus	2045	20	57.18	2.869	Cafundo	20	0.85
Fulanus_beltranus	2111	20	57.18	2.515	Cafundo	20	0.85
Fulanus_beltranus	2113	20	57.24	2.828	Cafundo	20	0.85
Fulanus_beltranus	2044	20	57.24	2.046	Cafundo	20	0.8
Fulanus_beltranus	2042	20	57.3	2.439	Cafundo	20	0.8
Fulanus_beltranus	2110	20	57.54	2.293	Cafundo	20	0.8
Fulanus_beltranus	2043	20	57.54	2.257	Cafundo	20	0.8
Fulanus_beltranus	2310	20	57.54	2.441	Cafundo	20	0.75
Fulanus_beltranus	2311	20	58.02	2.35	Cafundo	20	0.75
Fulanus_beltranus	2243	20	58.02	2.63	Cafundo	20	0.9
Fulanus_beltranus	2245	20	58.44	2.898	Cafundo	20	0.9
Fulanus_beltranus	2241	20	58.62	2.507	Cafundo	20	0.9
Fulanus_beltranus	2312	20	58.68	2.069	Cafundo	20	0.9
Fulanus_beltranus	2121	20	58.68	2.551	Cafundo	10	0.65
Fulanus_beltranus	2400	20	58.74	1.87	Cafundo	10	0.65
Fulanus_beltranus	2413	20	58.74	2.713	Cafundo	10	0.65
Fulanus_beltranus	2412	20	58.92	1.994	Cafundo	10	0.65
Fulanus_beltranus	2222	20	58.98	2.684	Cafundo	10	0.6
Fulanus_beltranus	2345	20	58.98	3.279	Cafundo	10	0.6
Fulanus_beltranus	2414	20	59.58	1.889	Cafundo	10	0.6
Fulanus_beltranus	2343	20	59.94	2.499	Cafundo	10	0.6
Fulanus_beltranus	2143	20	59.94	2.509	Cafundo	15	0.65
Fulanus_beltranus	2224	20	59.94	2.03	Cafundo	15	0.65
Fulanus_beltranus	2040	20	59.94	2.134	Cafundo	15	0.8
Fulanus_beltranus	2035	20	59.94	2.292	Cafundo	15	0.8
Fulanus_beltranus	2134	20	59.94	2.151	Cafundo	15	0.8
Fulanus_beltranus	2415	20	60.3	2.112	Cafundo	15	0.8
Fulanus_beltranus	2030	20	60.3	2.12	Cafundo	15	0.75
Fulanus_beltranus	2424	20	60.3	1.994	Cafundo	15	0.75
Fulanus_beltranus	2342	20	60.6	2.275	Cafundo	20	0.85
Fulanus_beltranus	2110	20	60.84	2.293	Cafundo	20	0.85
Fulanus_beltranus	2042	20	60.84	2.439	Cafundo	20	0.8
Fulanus_beltranus	2310	20	60.96	2.441	Cafundo	20	0.8
Fulanus_beltranus	2340	20	60.96	2.445	Cafundo	20	0.8
Fulanus_beltranus	2324	20	61.32	2.044	Cafundo	20	0.8
Fulanus_beltranus	2113	20	61.44	2.828	Cafundo	20	0.75
Fulanus_beltranus	2333	20	61.44	2.104	Cafundo	20	0.75
Fulanus_beltranus	2413	28	61.74	2.713	Cafundo	10	0.7
Fulanus_beltranus	2013	28	62.22	3.847	Cafundo	10	0.7
Fulanus_beltranus	2121	28	62.82	2.551	Cafundo	10	0.7
Fulanus_beltranus	2400	28	62.94	1.87	Cafundo	10	0.7
Fulanus_beltranus	2124	28	62.94	2.11	Cafundo	10	0.65
Fulanus_beltranus	2411	28	63.18	4.901	Cafundo	10	0.65
Fulanus_beltranus	2222	28	63.84	2.684	Cafundo	10	0.65
Fulanus_beltranus	2344	28	64.14	1.811	Cafundo	10	0.65
Fulanus_beltranus	2021	28	64.26	2.641	Cafundo	10	0.6
Fulanus_beltranus	2414	28	64.26	1.889	Cafundo	10	0.6
Fulanus_beltranus	2022	28	64.26	3.006	Cafundo	10	0.6
Fulanus_beltranus	2131	28	64.26	2.488	Cafundo	10	0.6
Fulanus_beltranus	2014	28	64.26	4.441	Cafundo	10	0.55
Fulanus_beltranus	2231	28	64.62	3.182	Cafundo	15	0.65
Fulanus_beltranus	2032	28	65.04	2.317	Cafundo	15	0.8
Fulanus_beltranus	2232	28	65.04	2.235	Cafundo	15	0.8
Fulanus_beltranus	2425	28	65.58	3.478	Cafundo	15	0.8
Fulanus_beltranus	2423	28	65.7	3.653	Cafundo	15	0.8
Fulanus_beltranus	2033	28	65.7	2.307	Cafundo	15	0.75
Fulanus_beltranus	2041	28	65.7	4.642	Cafundo	15	0.75
Fulanus_beltranus	2421	28	65.82	2.556	Cafundo	15	0.75
Fulanus_beltranus	2145	28	66.3	5.45	Cafundo	15	0.75
Fulanus_beltranus	2143	28	66.36	2.509	Cafundo	15	0.7
Fulanus_beltranus	2024	28	66.66	2.503	Cafundo	15	0.7
Fulanus_beltranus	2035	28	66.66	2.292	Cafundo	15	0.7
Fulanus_beltranus	2025	28	66.78	5.507	Cafundo	15	0.7
Fulanus_beltranus	2245	28	66.84	2.898	Cafundo	20	0.75
Fulanus_beltranus	2045	28	66.84	2.869	Cafundo	20	0.75
Fulanus_beltranus	2324	28	67.152	2.044	Cafundo	20	0.9
Fulanus_beltranus	2113	28	67.152	2.828	Cafundo	20	0.9
Fulanus_beltranus	2242	28	67.26	3.175	Cafundo	20	0.9
Fulanus_beltranus	2241	28	67.26	2.507	Cafundo	20	0.9
Fulanus_beltranus	2311	28	67.92	2.35	Cafundo	20	0.85
Fulanus_beltranus	2325	28	67.92	2.546	Cafundo	20	0.85
Fulanus_beltranus	2042	28	68.04	2.439	Cafundo	20	0.85
Fulanus_beltranus	2310	28	68.58	2.441	Cafundo	20	0.85
Fulanus_beltranus	2114	28	68.58	2.765	Cafundo	20	0.8
Fulanus_beltranus	2110	28	68.82	2.293	Cafundo	20	0.8
Fulanus_beltranus	2340	28	68.94	2.445	Cafundo	20	0.8
Fulanus_beltranus	2124	34	68.94	2.11	Cafundo	10	0.725
Fulanus_beltranus	2022	34	69.18	3.006	Cafundo	10	0.675
Fulanus_beltranus	2412	34	69.24	1.994	Cafundo	10	0.675
Fulanus_beltranus	2010	34	69.24	2.551	Cafundo	10	0.825
Fulanus_beltranus	2015	34	69.24	3.327	Cafundo	10	0.825
Fulanus_beltranus	2122	34	69.66	2.658	Cafundo	10	0.825
Fulanus_beltranus	2220	34	69.66	2.346	Cafundo	10	0.825
Fulanus_beltranus	2021	34	69.66	2.641	Cafundo	10	0.775
Fulanus_beltranus	2413	34	69.78	2.713	Cafundo	10	0.775
Fulanus_beltranus	2212	34	69.78	2.504	Cafundo	10	0.775
Fulanus_beltranus	2345	34	70.02	3.279	Cafundo	10	0.775
Fulanus_beltranus	2121	34	70.02	2.551	Cafundo	10	0.725
Fulanus_beltranus	2013	34	70.14	3.847	Cafundo	10	0.725
Fulanus_beltranus	2011	34	70.14	2.65	Cafundo	10	0.725
Fulanus_beltranus	2222	34	70.38	2.684	Cafundo	10	0.725
Fulanus_beltranus	2032	34	70.5	2.317	Cafundo	15	0.775
Fulanus_beltranus	2024	34	70.56	2.503	Cafundo	15	0.775
Fulanus_beltranus	2200	34	70.56	2.216	Cafundo	15	0.925
Fulanus_beltranus	2033	34	70.74	2.307	Cafundo	15	0.925
Fulanus_beltranus	2035	34	70.74	2.292	Cafundo	15	0.925
Fulanus_beltranus	2231	34	70.74	3.182	Cafundo	15	0.925
Fulanus_beltranus	2145	34	70.86	5.45	Cafundo	15	0.875
Fulanus_beltranus	2234	34	70.98	1.701	Cafundo	15	0.875
Fulanus_beltranus	2423	34	71.04	3.653	Cafundo	15	0.875
Fulanus_beltranus	2113	34	71.04	2.828	Cafundo	15	0.875
Fulanus_beltranus	2223	34	71.04	3.425	Cafundo	15	0.825
Fulanus_beltranus	2031	34	71.16	2.528	Cafundo	15	0.825
Fulanus_beltranus	2424	34	71.22	1.994	Cafundo	15	0.825
Fulanus_beltranus	2425	34	71.28	3.478	Cafundo	15	0.825
Fulanus_beltranus	2421	34	71.58	2.556	Cafundo	15	0.775
Fulanus_beltranus	2245	34	71.64	2.898	Cafundo	20	0.85
Fulanus_beltranus	2241	34	71.64	2.507	Cafundo	20	1
Fulanus_beltranus	2042	34	71.76	2.439	Cafundo	20	1
Fulanus_beltranus	2114	34	72	2.765	Cafundo	20	1
Fulanus_beltranus	2311	34	72.3	2.35	Cafundo	20	1
Fulanus_beltranus	2113	34	72.42	2.828	Cafundo	20	0.95
Fulanus_beltranus	2342	34	72.42	2.275	Cafundo	20	0.95
Fulanus_beltranus	2243	34	72.72	2.63	Cafundo	20	0.95
Fulanus_beltranus	2322	34	72.96	2.156	Cafundo	20	0.95
Fulanus_beltranus	2325	34	72.96	2.546	Cafundo	20	0.9
Fulanus_beltranus	2242	34	73.14	3.175	Cafundo	20	0.9
Fulanus_beltranus	2312	34	73.44	2.069	Cafundo	20	0.9
Fulanus_beltranus	2045	34	73.5	2.869	Cafundo	20	0.9
Fulanus_beltranus	2333	34	73.62	2.104	Cafundo	20	0.85
Fulanus_beltranus	2111	34	73.86	2.515	Cafundo	20	0.85
Fulanus_beltranus	2012	38	73.98	2.702	Cafundo	10	0.8
Fulanus_beltranus	2410	38	73.98	2.143	Cafundo	10	0.8
Fulanus_beltranus	2125	38	74.16	2.267	Cafundo	10	0.8
Fulanus_beltranus	2343	38	74.22	2.499	Cafundo	10	0.8
Fulanus_beltranus	2014	38	74.22	4.441	Cafundo	10	0.75
Fulanus_beltranus	2221	38	74.22	1.961	Cafundo	10	0.75
Fulanus_beltranus	2120	38	74.4	2.171	Cafundo	10	0.75
Fulanus_beltranus	2215	38	74.46	2.329	Cafundo	10	0.75
Fulanus_beltranus	2212	38	74.46	2.504	Cafundo	10	0.7
Fulanus_beltranus	2022	38	75	3.006	Cafundo	10	0.7
Fulanus_beltranus	2143	38	75	2.509	Cafundo	15	0.8
Fulanus_beltranus	2423	38	75	3.653	Cafundo	15	0.8
Fulanus_beltranus	2032	38	75.06	2.317	Cafundo	15	0.75
Fulanus_beltranus	2145	38	75.18	5.45	Cafundo	15	0.75
Fulanus_beltranus	2425	38	75.36	3.478	Cafundo	15	0.9
Fulanus_beltranus	2421	38	75.72	2.556	Cafundo	15	0.9
Fulanus_beltranus	2230	38	75.78	2.198	Cafundo	15	0.9
Fulanus_beltranus	2231	38	76.02	3.182	Cafundo	15	0.9
Fulanus_beltranus	2033	38	76.08	2.307	Cafundo	15	0.85
Fulanus_beltranus	2025	38	76.26	5.507	Cafundo	15	0.85
Fulanus_beltranus	2232	38	76.44	2.235	Cafundo	15	0.85
Fulanus_beltranus	2113	38	76.62	2.828	Cafundo	20	0.925
Fulanus_beltranus	2224	38	76.62	2.03	Cafundo	20	0.875
Fulanus_beltranus	2045	38	76.62	2.869	Cafundo	20	0.875
Fulanus_beltranus	2325	38	76.62	2.546	Cafundo	20	0.875
Fulanus_beltranus	2111	38	76.62	2.515	Cafundo	20	0.875
Fulanus_beltranus	2342	38	76.74	2.275	Cafundo	20	0.825
Fulanus_beltranus	2311	38	76.86	2.35	Cafundo	20	0.825
Fulanus_beltranus	2245	38	76.92	2.898	Cafundo	20	0.975
Fulanus_beltranus	2042	38	76.98	2.439	Cafundo	20	0.975
Fulanus_beltranus	2241	38	76.98	2.507	Cafundo	20	0.975
Fulanus_beltranus	2013	40	76.98	3.847	Cafundo	10	0.775
Fulanus_beltranus	2212	40	77.04	2.504	Cafundo	10	0.725
Fulanus_beltranus	2022	40	77.16	3.006	Cafundo	10	0.725
Fulanus_beltranus	2411	40	77.4	4.901	Cafundo	10	0.725
Fulanus_beltranus	2014	40	77.58	4.441	Cafundo	10	0.725
Fulanus_beltranus	2131	40	77.58	2.488	Cafundo	10	0.675
Fulanus_beltranus	2120	40	77.7	2.171	Cafundo	10	0.675
Fulanus_beltranus	2122	40	77.94	2.658	Cafundo	10	0.675
Fulanus_beltranus	2020	40	78.24	1.759	Cafundo	10	0.675
Fulanus_beltranus	2220	40	78.24	2.346	Cafundo	10	0.625
Fulanus_beltranus	2032	40	78.24	2.317	Cafundo	15	0.725
Fulanus_beltranus	2025	40	78.48	5.507	Cafundo	15	0.875
Fulanus_beltranus	2235	40	78.9	2.923	Cafundo	15	0.875
Fulanus_beltranus	2423	40	79.14	3.653	Cafundo	15	0.875
Fulanus_beltranus	2024	40	79.44	2.503	Cafundo	15	0.875
Fulanus_beltranus	2231	40	79.44	3.182	Cafundo	15	0.825
Fulanus_beltranus	2421	40	79.44	2.556	Cafundo	15	0.825
Fulanus_beltranus	2031	40	79.44	2.528	Cafundo	15	0.825
Fulanus_beltranus	2425	40	79.74	3.478	Cafundo	15	0.825
Fulanus_beltranus	2223	40	79.98	3.425	Cafundo	15	0.775
Fulanus_beltranus	2045	40	79.98	2.869	Cafundo	20	0.875
Fulanus_beltranus	2245	40	80.76	2.898	Cafundo	20	0.875
Fulanus_beltranus	2325	40	81.36	2.546	Cafundo	20	0.875
Fulanus_beltranus	2242	40	81.84	3.175	Cafundo	20	0.825
Fulanus_beltranus	2241	40	81.84	2.507	Cafundo	20	0.825
Fulanus_beltranus	2243	40	81.84	2.63	Cafundo	20	0.975
Fulanus_beltranus	2311	40	81.84	2.35	Cafundo	20	0.975
Fulanus_beltranus	2111	40	81.84	2.515	Cafundo	20	0.975
Fulanus_beltranus	2043	40	81.84	2.257	Cafundo	20	0.975
Fulanus_beltranus	2114	40	82.02	2.765	Cafundo	20	0.925
Fulanus_beltranus	302	3	82.02	9.4	Cafundo	10	0.725
Fulanus_beltranus	4001	3	82.14	5.007	Cafundo	10	0.725
Fulanus_beltranus	3005	3	82.26	3.194	Cafundo	10	0.725
Fulanus_beltranus	305	3	82.56	2.28	Cafundo	10	0.675
Fulanus_beltranus	4200	3	82.74	3.265	Cafundo	10	0.675
Fulanus_beltranus	105	3	82.92	2.968	Cafundo	10	0.675
Fulanus_beltranus	3100	3	83.1	10.783	Cafundo	10	0.675
Fulanus_beltranus	4004	3	83.1	3.394	Cafundo	10	0.625
Fulanus_beltranus	3300	3	83.7	14.364	Cafundo	10	0.625
Fulanus_beltranus	502	3	83.7	4.579	Cafundo	10	0.775
Fulanus_beltranus	200	3	83.7	2.451	Cafundo	10	0.775
Fulanus_beltranus	4005	3	84.3	1.986	Cafundo	10	0.775
Fulanus_beltranus	3400	3	84.36	8.338	Cafundo	15	0.875
Fulanus_beltranus	102	3	84.72	9.974	Cafundo	15	0.825
Fulanus_beltranus	402	3	84.9	9.252	Cafundo	15	0.825
Fulanus_beltranus	303	3	85.26	4.528	Cafundo	15	0.825
Fulanus_beltranus	300	3	85.74	2.297	Cafundo	15	0.825
Fulanus_beltranus	103	3	85.74	2.693	Cafundo	15	0.775
Fulanus_beltranus	130	3	86.52	2.814	Cafundo	15	0.775
Fulanus_beltranus	400	3	86.76	1.786	Cafundo	15	0.775
Fulanus_beltranus	4100	3	86.88	13.438	Cafundo	15	0.775
Fulanus_beltranus	3500	3	87.12	8.025	Cafundo	15	0.725
Fulanus_beltranus	201	3	87.12	5.202	Cafundo	15	0.725
Fulanus_beltranus	505	3	87.36	3.612	Cafundo	15	0.875
Fulanus_beltranus	101	3	87.78	9.435	Cafundo	20	0.975
Fulanus_beltranus	4002	3	87.78	5.388	Cafundo	20	0.975
Fulanus_beltranus	203	3	87.78	4.381	Cafundo	20	0.975
Fulanus_beltranus	3001	3	87.9	2.467	Cafundo	20	0.925
Fulanus_beltranus	104	3	88.5	4.113	Cafundo	20	0.925
Fulanus_beltranus	3004	3	88.74	1.897	Cafundo	20	0.925
Fulanus_beltranus	4400	3	88.92	5.057	Cafundo	20	0.925
Fulanus_beltranus	401	3	89.1	3.224	Cafundo	20	0.875
Fulanus_beltranus	3003	3	89.4	4.734	Cafundo	20	0.875
Fulanus_beltranus	3006	3	89.46	4.014	Cafundo	20	0.875
Fulanus_beltranus	43	3	89.7	9.096	Cafundo	20	0.875
Fulanus_beltranus	2	3	90	2.666	Cafundo	20	0.825
Fulanus_beltranus	4200	9	90	3.265	Cafundo	10	0.625
Fulanus_beltranus	105	9	90.72	2.968	Cafundo	10	0.775
Fulanus_beltranus	500	9	90.9	2.301	Cafundo	10	0.775
Fulanus_beltranus	3005	9	91.14	3.194	Cafundo	10	0.775
Fulanus_beltranus	305	9	91.14	2.28	Cafundo	10	0.775
Fulanus_beltranus	4001	9	91.14	5.007	Cafundo	10	0.725
Fulanus_beltranus	3200	9	91.14	7.506	Cafundo	10	0.725
Fulanus_beltranus	302	9	91.14	9.4	Cafundo	10	0.725
Fulanus_beltranus	200	9	91.5	2.451	Cafundo	10	0.725
Fulanus_beltranus	4500	9	91.5	3.18	Cafundo	10	0.675
Fulanus_beltranus	3100	9	91.74	10.783	Cafundo	10	0.675
Fulanus_beltranus	301	9	91.98	4.886	Cafundo	10	0.675
Fulanus_beltranus	505	9	92.64	3.612	Cafundo	15	0.775
